Site,Plot,Distance,Plant,Leaves,Area,Biomass
Kbira,D,21.22,Seagrass,838.0952384,0.895863947,44.4669388
Kbira,D,21.22,Seagrass,598.639456,0.435061224,17.52816327
Kbira,D,21.22,Seagrass,957.8231296,2.247811339,113.0590476
Kbira,D,21.22,Seagrass,957.8231296,2.213010431,107.4198639
Kbira,D,21.22,Seagrass,957.8231296,2.070294785,114.9387756
Kbira,D,21.22,Seagrass,598.639456,0.800979592,34.18231293
Kbira,D,21.22,Seagrass,957.8231296,1.972397279,91.47210887
Kbira,D,21.22,Seagrass,838.0952384,0.820076191,38.25306124
Kbira,D,21.22,Seagrass,598.639456,1.320558731,17.67183674
Kbira,D,21.22,Seagrass,598.639456,0.640903402,26.24435376
Kbira,C,27.94,Seagrass,1161.904762,1.122068027,52.40190477
Kbira,C,27.94,Seagrass,1327.891157,1.457249887,76.10476193
Kbira,C,27.94,Seagrass,1327.891157,2.265631293,117.5515646
Kbira,C,27.94,Seagrass,1161.904762,1.918166441,88.58693879
Kbira,C,27.94,Seagrass,1161.904762,1.159193651,55.2734694
Kbira,C,27.94,Seagrass,995.9183676,0.817704308,37.42993198
Kbira,C,27.94,Seagrass,1161.904762,1.175819955,55.14068029
Kbira,C,27.94,Seagrass,1327.891157,2.132399547,108.0737415
Kbira,C,27.94,Seagrass,1493.877551,2.077430387,112.8541497
Kbira,C,27.94,Seagrass,1161.904762,2.527806804,99.32625853
Kbira,B,70.53,Seagrass,1012.244898,2.836478912,152.0897959
Kbira,B,70.53,Seagrass,1012.244898,3.756103401,126.0413605
Kbira,B,70.53,Seagrass,1012.244898,2.452472563,118.9556463
Kbira,B,70.53,Seagrass,1012.244898,2.737560092,147.9902041
Kbira,B,70.53,Seagrass,1012.244898,2.510282993,130.4783673
Kbira,B,70.53,Seagrass,1012.244898,1.248266667,55.82530613
Kbira,B,70.53,Seagrass,843.537415,2.100604989,114.147483
Kbira,B,70.53,Seagrass,1687.07483,1.913705216,116.5937415
Kbira,B,70.53,Seagrass,1180.952381,1.514234014,79.51183673
Kbira,B,70.53,Seagrass,1349.659864,1.990354649,103.1140136
Kbira,A,70.78,Seagrass,1180.952381,1.596985034,92.40108844
Kbira,A,70.78,Seagrass,843.537415,0.812888889,41.36707483
Kbira,A,70.78,Seagrass,1012.244898,1.592570522,90.37659865
Kbira,A,70.78,Seagrass,843.537415,1.267611792,73.52272109
Kbira,A,70.78,Seagrass,1012.244898,1.993925625,118.36517
Kbira,A,70.78,Seagrass,1349.659864,1.802836281,94.76299321
Kbira,A,70.78,Seagrass,1012.244898,1.249222676,67.31428572
Kbira,A,70.78,Seagrass,1012.244898,1.593863946,93.93632654
Kbira,A,70.78,Seagrass,1012.244898,1.475515646,82.59918368
Kbira,A,70.78,Seagrass,1012.244898,1.702455329,110.3178231
Zghira,D,36.35,Seagrass,489.7959183,1.60682449,99.18367347
Zghira,D,36.35,Seagrass,489.7959183,1.457534694,88.45714285
Zghira,D,36.35,Seagrass,391.8367346,0.944816327,52.15346939
Zghira,D,36.35,Seagrass,489.7959183,1.055706122,63.51673469
Zghira,D,36.35,Seagrass,587.755102,1.740636735,112.8
Zghira,D,36.35,Seagrass,489.7959183,1.287281633,72.33306122
Zghira,D,36.35,Seagrass,391.8367346,0.801991836,38.5077551
Zghira,D,36.35,Seagrass,587.755102,1.297469387,68.56163265
Zghira,D,36.35,Seagrass,293.877551,0.881044898,43.15102041
Zghira,D,36.35,Seagrass,587.755102,1.664914285,99.66367347
Zghira,C,45.83,Seagrass,653.0612244,0.98677551,54.59591836
Zghira,C,45.83,Seagrass,761.9047618,2.47292517,134.2585033
Zghira,C,45.83,Seagrass,435.3741496,0.381931972,21.35510203
Zghira,C,45.83,Seagrass,653.0612244,2.487074829,133.2789116
Zghira,C,45.83,Seagrass,653.0612244,1.368707482,82.68843536
Zghira,C,45.83,Seagrass,653.0612244,1.441741496,81.17551019
Zghira,C,45.83,Seagrass,653.0612244,1.717115646,92.58231291
Zghira,C,45.83,Seagrass,979.5918366,2.637714285,161.0013606
Zghira,C,45.83,Seagrass,653.0612244,1.366530612,85.20272108
Zghira,C,45.83,Seagrass,870.7482992,2.021659864,115.7442177
Zghira,B,67.21,Seagrass,421.7687075,1.644813606,87.55918368
Zghira,B,67.21,Seagrass,506.122449,2.148995918,111.3553742
Zghira,B,67.21,Seagrass,421.7687075,0.88377415,43.48435374
Zghira,B,67.21,Seagrass,590.4761905,1.646331973,103.0127891
Zghira,B,67.21,Seagrass,506.122449,2.241785034,123.502313
Zghira,B,67.21,Seagrass,590.4761905,2.505053061,150.3436734
Zghira,B,67.21,Seagrass,421.7687075,1.562062585,87.65197279
