Site,Plot,Distance,Stage,Leaves,Area,Biomass,Density
Kbira,D,21.22,Adult,4,60.985,0.3254,106.122449
Kbira,D,21.22,Adult,2,25.89,0.1065,122.4489796
Kbira,D,21.22,Adult,4,169.5983333,0.8896,130.6122449
Kbira,D,21.22,Adult,4,168.2533333,0.8489,NA
Kbira,D,21.22,Adult,4,154.4,0.9,NA
Kbira,D,21.22,Adult,2,58.53,0.2598,NA
Kbira,D,21.22,Adult,4,125.4216667,0.6938,NA
Kbira,D,21.22,Adult,3,44.03166667,0.2284,NA
Kbira,D,21.22,Adult,2,100.09,0.1182,NA
Kbira,D,21.22,Adult,2,37.17,0.1676,NA
Kbira,C,27.94,Adult,3,49.80333333,0.2626,146.9387755
Kbira,C,27.94,Adult,4,71.96666667,0.4002,138.7755102
Kbira,C,27.94,Adult,4,120.4483333,0.664,212.244898
Kbira,C,27.94,Adult,3,95.97333333,0.4769,NA
Kbira,C,27.94,Adult,3,50.39166667,0.2736,NA
Kbira,C,27.94,Adult,3,41.40333333,0.2013,NA
Kbira,C,27.94,Adult,3,55.63333333,0.282,NA
Kbira,C,27.94,Adult,4,113.12,0.612,NA
Kbira,C,27.94,Adult,5,106.1566667,0.617,NA
Kbira,C,27.94,Adult,3,113.1016667,0.543,NA
Kbira,B,70.53,Adult,4,156.85,0.8654,195.9183673
Kbira,B,70.53,Adult,4,217.11,0.7326,179.5918367
Kbira,B,70.53,Adult,3,135.0216667,0.6745,130.6122449
Kbira,B,70.53,Adult,3,134.55,0.7729,NA
Kbira,B,70.53,Adult,3,123.085,0.6854,NA
Kbira,B,70.53,Adult,3,66.505,0.3067,NA
Kbira,B,70.53,Adult,2,85.41166667,0.5112,NA
Kbira,B,70.53,Adult,6,99.32,0.6394,NA
Kbira,B,70.53,Adult,4,76.11166667,0.4256,NA
Kbira,B,70.53,Adult,4,94.53333333,0.5281,NA
Kbira,A,70.78,Adult,3,69.52833333,0.4558,187.755102
Kbira,A,70.78,Adult,2,32.25166667,0.1859,155.1020408
Kbira,A,70.78,Adult,3,81.73833333,0.4832,163.2653061
Kbira,A,70.78,Adult,2,65.94333333,0.3924,NA
Kbira,A,70.78,Adult,3,109.8266667,0.6769,NA
Kbira,A,70.78,Adult,4,86.78,0.5008,NA
Kbira,A,70.78,Adult,3,59.22666667,0.3417,NA
Kbira,A,70.78,Adult,3,81.975,0.5131,NA
Kbira,A,70.78,Adult,3,76.06,0.4534,NA
Kbira,A,70.78,Adult,3,91.58333333,0.6245,NA
Zghira,D,36.35,Adult,3,140.3,0.9198,122.4489796
Zghira,D,36.35,Adult,3,131.84,0.8393,106.122449
Zghira,D,36.35,Adult,2,74.92,0.4342,65.30612245
Zghira,D,36.35,Adult,3,98.6,0.6192,NA
Zghira,D,36.35,Adult,4,161.75,1.1033,NA
Zghira,D,36.35,Adult,3,118.77,0.6589,NA
Zghira,D,36.35,Adult,2,73.84,0.3672,NA
Zghira,D,36.35,Adult,3,110.43,0.6227,NA
Zghira,D,36.35,Adult,2,74.19,0.3858,NA
Zghira,D,36.35,Adult,3,135.46,0.9837,NA
Zghira,C,45.83,Adult,3,77.49,0.4552,122.4489796
Zghira,C,45.83,Adult,4,192.71,1.1214,97.95918367
Zghira,C,45.83,Adult,2,27.77,0.1643,106.122449
Zghira,C,45.83,Adult,3,178.83,1.0489,NA
Zghira,C,45.83,Adult,3,111,0.7072,NA
Zghira,C,45.83,Adult,3,94.62,0.5905,NA
Zghira,C,45.83,Adult,3,131.47,0.7604,NA
Zghira,C,45.83,Adult,5,203.3,1.3066,NA
Zghira,C,45.83,Adult,3,104.77,0.698,NA
Zghira,C,45.83,Adult,5,167.62,1.0014,NA
Zghira,B,67.21,Adult,2,151.08,0.875,97.95918367
Zghira,B,67.21,Adult,3,209.78,1.2573,40.81632653
Zghira,B,67.21,Adult,2,79.32,0.423,114.2857143
Zghira,B,67.21,Adult,4,181.94,1.1755,NA
Zghira,B,67.21,Adult,3,227.69,1.3262,NA
Zghira,B,67.21,Adult,3,217.9,1.4362,NA
Zghira,B,67.21,Adult,2,131.69,0.8391,NA
Zghira,B,67.21,Adult,3,221.48,1.3248,NA
Zghira,B,67.21,Adult,3,207.43,1.257,NA
Zghira,B,67.21,Adult,3,212.39,1.5021,NA
Zghira,A,68.63,Adult,3,125.18,0.8954,163.2653061
Zghira,A,68.63,Adult,3,99.74,0.6765,97.95918367
Zghira,A,68.63,Adult,3,128.86,0.895,32.65306122
Zghira,A,68.63,Adult,4,252.4,2.2197,NA
Zghira,A,68.63,Adult,3,116.68,0.7777,NA
Zghira,A,68.63,Adult,3,177.79,1.1425,NA
Zghira,A,68.63,Adult,3,203,1.498,NA
Zghira,A,68.63,Adult,3,184.9,1.4639,NA
Zghira,A,68.63,Adult,3,79.37,0.4256,NA
Zghira,A,68.63,Adult,3,140.4,0.7259,NA
Kbira,D,21.22,Intermediate,1,8.96,0.0329,NA
Kbira,D,21.22,Intermediate,1,7.09,0.0288,NA
Kbira,D,21.22,Intermediate,2,15.21,0.0483,NA
Kbira,D,21.22,Intermediate,2,14.19166667,0.0441,NA
Kbira,D,21.22,Intermediate,2,14.66666667,0.0514,NA
Kbira,D,21.22,Intermediate,1,5.43,0.0179,NA
Kbira,D,21.22,Intermediate,2,31.595,0.0641,NA
Kbira,D,21.22,Intermediate,2,19.64,0.079,NA
Kbira,D,21.22,Intermediate,1,5.28,0.0169,NA
Kbira,D,21.22,Intermediate,2,14.64,0.0483,NA
Kbira,C,27.94,Intermediate,2,15.47,0.0476,NA
Kbira,C,27.94,Intermediate,2,14.15333333,0.0543,NA
Kbira,C,27.94,Intermediate,2,14.39833333,0.0401,NA
Kbira,C,27.94,Intermediate,2,17.195,0.0522,NA
Kbira,C,27.94,Intermediate,2,16.905,0.0538,NA
Kbira,C,27.94,Intermediate,1,5.43,0.0182,NA
Kbira,C,27.94,Intermediate,2,13.23,0.045,NA
Kbira,C,27.94,Intermediate,2,14.045,0.0362,NA
Kbira,C,27.94,Intermediate,2,15.41333333,0.0532,NA
Kbira,C,27.94,Intermediate,2,34.06,0.0465,NA
Kbira,B,70.53,Intermediate,1,9.44,0.0323,NA
Kbira,B,70.53,Intermediate,1,4.45,0.0134,NA
Kbira,B,70.53,Intermediate,1,6.97,0.0227,NA
Kbira,B,70.53,Intermediate,2,25.96666667,0.1009,NA
Kbira,B,70.53,Intermediate,2,24.48,0.0862,NA
